lerobot_episode_index,steering_trajectory_id,source_collection,task_instruction,episode_length,segments,video_url,audit_seed,secondary_review_required,primary_reviewer,primary_task_identity_believable,primary_direct_step_i_alignment_believable,primary_boundary_alignment_believable,primary_review_notes,secondary_reviewer,secondary_task_identity_believable,secondary_direct_step_i_alignment_believable,secondary_boundary_alignment_believable,secondary_review_notes,adjudicated_task_identity_believable,adjudicated_direct_step_i_alignment_believable,adjudicated_boundary_alignment_believable,adjudicator,adjudication_notes
40581,40460,bridge_data_v2,Fold the cloth into left side,41,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 10, ""subtask"": ""Approach and move to the cloth on the left""}, {""segment_index"": 1, ""start_frame"": 11, ""end_frame"": 17, ""subtask"": ""Grasp the cloth""}, {""segment_index"": 2, ""start_frame"": 18, ""end_frame"": 29, ""subtask"": ""Lift and position the cloth""}, {""segment_index"": 3, ""start_frame"": 30, ""end_frame"": 33, ""subtask"": ""Fold the cloth to the left""}, {""segment_index"": 4, ""start_frame"": 34, ""end_frame"": 40, ""subtask"": ""Release and final positioning""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-040/observation.images.image_0/episode_040581.mp4,20260723,True,,,,,,,,,,,,,,,
29200,29416,bridge_data_v2,moved the silver lid from the right top conner to the top of the silver pot,33,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 5, ""subtask"": ""Move to the silver lid""}, {""segment_index"": 1, ""start_frame"": 6, ""end_frame"": 11, ""subtask"": ""Grasp the silver lid""}, {""segment_index"": 2, ""start_frame"": 12, ""end_frame"": 25, ""subtask"": ""Lift the silver lid""}, {""segment_index"": 3, ""start_frame"": 26, ""end_frame"": 32, ""subtask"": ""Release the silver lid""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-029/observation.images.image_0/episode_029200.mp4,20260723,False,,,,,,,,,,,,,,,
13535,14038,bridge_data_v2,move the silver pot to the bottom side on the table,25,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 10, ""subtask"": ""Move to and grasp silver pot""}, {""segment_index"": 1, ""start_frame"": 11, ""end_frame"": 18, ""subtask"": ""Lift and transport silver pot""}, {""segment_index"": 2, ""start_frame"": 19, ""end_frame"": 24, ""subtask"": ""Release silver pot""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-013/observation.images.image_0/episode_013535.mp4,20260723,False,,,,,,,,,,,,,,,
32816,32899,bridge_data_v2,unfoldt the cloth from top left to left,30,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 5, ""subtask"": ""Position end-effector above the top-left of the cloth""}, {""segment_index"": 1, ""start_frame"": 6, ""end_frame"": 12, ""subtask"": ""Grasp the cloth at the top-left corner""}, {""segment_index"": 2, ""start_frame"": 13, ""end_frame"": 19, ""subtask"": ""Move the cloth up and to the left""}, {""segment_index"": 3, ""start_frame"": 20, ""end_frame"": 26, ""subtask"": ""Release the cloth to unfold it""}, {""segment_index"": 4, ""start_frame"": 27, ""end_frame"": 29, ""subtask"": ""Complete Unfolding and Finalize Position""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-032/observation.images.image_0/episode_032816.mp4,20260723,False,,,,,,,,,,,,,,,
33030,32766,bridge_data_v2,take the cylinder to top right,33,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 10, ""subtask"": ""Reach for the cylinder""}, {""segment_index"": 1, ""start_frame"": 11, ""end_frame"": 14, ""subtask"": ""Grasp the cylinder""}, {""segment_index"": 2, ""start_frame"": 15, ""end_frame"": 25, ""subtask"": ""Lift and move the cylinder to the top right""}, {""segment_index"": 3, ""start_frame"": 26, ""end_frame"": 27, ""subtask"": ""Release the cylinder""}, {""segment_index"": 4, ""start_frame"": 28, ""end_frame"": 32, ""subtask"": ""Retract arm""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-033/observation.images.image_0/episode_033030.mp4,20260723,False,,,,,,,,,,,,,,,
4568,4651,bridge_data_v2,move the red spoon onto the right burner,46,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 13, ""subtask"": ""Reach for and grasp the red spoon""}, {""segment_index"": 1, ""start_frame"": 14, ""end_frame"": 15, ""subtask"": ""Lift the red spoon""}, {""segment_index"": 2, ""start_frame"": 16, ""end_frame"": 35, ""subtask"": ""Move the red spoon towards the right burner""}, {""segment_index"": 3, ""start_frame"": 36, ""end_frame"": 45, ""subtask"": ""Release the red spoon onto the right burner""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-004/observation.images.image_0/episode_004568.mp4,20260723,False,,,,,,,,,,,,,,,
23650,23661,bridge_data_v2,stack cuboid to the left,42,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 34, ""subtask"": ""Move Cuboid Above Stack Location""}, {""segment_index"": 1, ""start_frame"": 35, ""end_frame"": 39, ""subtask"": ""Release Cuboid on Stack""}, {""segment_index"": 2, ""start_frame"": 40, ""end_frame"": 41, ""subtask"": ""Move Away From Stack""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-023/observation.images.image_0/episode_023650.mp4,20260723,False,,,,,,,,,,,,,,,
52550,52945,icra,Move orange pot to the bottom side of the knife and bottom right of the table,45,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 16, ""subtask"": ""Reach for the orange pot""}, {""segment_index"": 1, ""start_frame"": 17, ""end_frame"": 23, ""subtask"": ""Grasp the orange pot""}, {""segment_index"": 2, ""start_frame"": 24, ""end_frame"": 33, ""subtask"": ""Lift the orange pot""}, {""segment_index"": 3, ""start_frame"": 34, ""end_frame"": 35, ""subtask"": ""Move the orange pot to the bottom side of the knife and bottom right of the table""}, {""segment_index"": 4, ""start_frame"": 36, ""end_frame"": 39, ""subtask"": ""Place the orange pot on the table""}, {""segment_index"": 5, ""start_frame"": 40, ""end_frame"": 44, ""subtask"": ""Release the orange pot""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-052/observation.images.image_0/episode_052550.mp4,20260723,False,,,,,,,,,,,,,,,
19021,19044,icra,moved the green Broccoli from between two burner to the orange pot .,40,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 16, ""subtask"": ""Move to the Broccoli near the burners""}, {""segment_index"": 1, ""start_frame"": 17, ""end_frame"": 20, ""subtask"": ""Grasp the Green Broccoli""}, {""segment_index"": 2, ""start_frame"": 21, ""end_frame"": 31, ""subtask"": ""Lift and Clear Broccoli (Failed Release?)""}, {""segment_index"": 3, ""start_frame"": 32, ""end_frame"": 39, ""subtask"": ""Move Broccoli to Orange Pot""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-019/observation.images.image_0/episode_019021.mp4,20260723,False,,,,,,,,,,,,,,,
37280,37231,icra,move the metalic can to the right side of table,45,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 19, ""subtask"": ""Reach for the metallic can""}, {""segment_index"": 1, ""start_frame"": 20, ""end_frame"": 33, ""subtask"": ""Grasp and adjust the metallic can""}, {""segment_index"": 2, ""start_frame"": 34, ""end_frame"": 44, ""subtask"": ""Move the metallic can to the right side of the table""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-037/observation.images.image_0/episode_037280.mp4,20260723,False,,,,,,,,,,,,,,,
2733,3273,icra,put the stuff toy to the bottom right corner of the burner,45,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 5, ""subtask"": ""Reach for the stuff toy""}, {""segment_index"": 1, ""start_frame"": 6, ""end_frame"": 21, ""subtask"": ""Grasp the stuff toy""}, {""segment_index"": 2, ""start_frame"": 22, ""end_frame"": 28, ""subtask"": ""Move the stuff toy towards the burner""}, {""segment_index"": 3, ""start_frame"": 29, ""end_frame"": 34, ""subtask"": ""Place the stuff toy on the burner""}, {""segment_index"": 4, ""start_frame"": 35, ""end_frame"": 42, ""subtask"": ""Retract from the burner""}, {""segment_index"": 5, ""start_frame"": 43, ""end_frame"": 44, ""subtask"": ""Final adjustment""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-002/observation.images.image_0/episode_002733.mp4,20260723,False,,,,,,,,,,,,,,,
51316,51051,icra,put the wooden spatula on the top of the silver pot in the sink,56,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 22, ""subtask"": ""Grasp the wooden spatula""}, {""segment_index"": 1, ""start_frame"": 23, ""end_frame"": 34, ""subtask"": ""Move towards the sink with the wooden spatula""}, {""segment_index"": 2, ""start_frame"": 35, ""end_frame"": 38, ""subtask"": ""Position the wooden spatula above the silver pot""}, {""segment_index"": 3, ""start_frame"": 39, ""end_frame"": 44, ""subtask"": ""Release the wooden spatula on the silver pot""}, {""segment_index"": 4, ""start_frame"": 45, ""end_frame"": 55, ""subtask"": ""Retract the gripper""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-051/observation.images.image_0/episode_051316.mp4,20260723,False,,,,,,,,,,,,,,,
