task_dir,episode_index,replan_index,sampling_seed,requested_relation,imagined_requested,reliable_future_frames,requested_future_frames,execution_end_step,executed_relation,executed_requested,execution_geometry_source,quadrant,chunk_dir
/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask,0,0,7200000,left,False,4,0,31,neutral,False,rigid_object_root_pose_in_robot_frame,neither_imagines_nor_executes_requested,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_000/chunk_000
/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask,0,1,7200001,left,,1,0,63,neutral,False,rigid_object_root_pose_in_robot_frame,uncertain_future,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_000/chunk_001
/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask,0,2,7200002,left,,1,0,95,neutral,False,rigid_object_root_pose_in_robot_frame,uncertain_future,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_000/chunk_002
/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask,0,3,7200003,left,False,2,0,127,neutral,False,rigid_object_root_pose_in_robot_frame,neither_imagines_nor_executes_requested,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_000/chunk_003
/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask,0,4,7200004,left,False,3,0,159,neutral,False,rigid_object_root_pose_in_robot_frame,neither_imagines_nor_executes_requested,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_000/chunk_004
/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask,0,5,7200005,left,False,4,0,191,neutral,False,rigid_object_root_pose_in_robot_frame,neither_imagines_nor_executes_requested,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_000/chunk_005
/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask,0,6,7200006,left,,1,0,223,neutral,False,rigid_object_root_pose_in_robot_frame,uncertain_future,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_000/chunk_006
/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask,0,7,7200007,left,,0,0,248,left,True,rigid_object_root_pose_in_robot_frame,uncertain_future,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_000/chunk_007
/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask,1,0,7201000,left,False,4,0,31,neutral,False,rigid_object_root_pose_in_robot_frame,neither_imagines_nor_executes_requested,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_001/chunk_000
/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask,1,1,7201001,left,False,2,0,63,neutral,False,rigid_object_root_pose_in_robot_frame,neither_imagines_nor_executes_requested,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_001/chunk_001
