condition,style,prompt,requested_sampling_seed,server_sampling_seed,request_wall_seconds,action_shape,future_shape,prompt_family,requested_relation,action_rms_vs_task_left,action_effect_to_repeat_noise,action_exceeds_repeat_noise,future_pixel_mae_vs_task_left,future_effect_to_repeat_noise,future_exceeds_repeat_noise,target_token_order
task_left,task,Put the rubiks cube to the left of the bowl,8200000,8200000,5.514833041001111,"[32, 8]","[33, 528, 640, 3]",canonical,left,0.0,,False,0.0,,False,
task_left_repeat,exact_repeat_control,Put the rubiks cube to the left of the bowl,8200000,8200000,5.469596010050736,"[32, 8]","[33, 528, 640, 3]",canonical_repeat,left,0.0,,False,0.0,,False,
task_right,opposite_relation_control,Put the rubiks cube to the right of the bowl,8200000,8200000,5.469871827983297,"[32, 8]","[33, 528, 640, 3]",canonical,right,0.017620958364218463,,True,5.074318229644934,,True,
short_left,paraphrase_control,Put the cube left of the bowl,8200000,8200000,5.473057650960982,"[32, 8]","[33, 528, 640, 3]",short_paraphrase,left,0.029204519957544965,,True,8.499391524142945,,True,
short_right,paraphrase_control,Put the cube right of the bowl,8200000,8200000,5.493392050964758,"[32, 8]","[33, 528, 640, 3]",short_paraphrase,right,0.024848927105036295,,True,8.739688103812748,,True,
declarative_left,paraphrase_control,The rubiks cube should end up to the left of the bowl,8200000,8200000,5.4982050489634275,"[32, 8]","[33, 528, 640, 3]",declarative_goal,left,0.012758217460038497,,True,3.555109989573768,,True,
declarative_right,paraphrase_control,The rubiks cube should end up to the right of the bowl,8200000,8200000,5.503706180024892,"[32, 8]","[33, 528, 640, 3]",declarative_goal,right,0.015558335355217133,,True,3.90631552265075,,True,
contrastive_first_left,contrastive_task,"Put the rubiks cube to the left of the bowl, not to the right of the bowl",8200000,8200000,5.510525724035688,"[32, 8]","[33, 528, 640, 3]",contrastive_goal,left,0.013051811817240471,,True,5.098618374799128,,True,target_first
contrastive_first_right,contrastive_task,"Put the rubiks cube to the right of the bowl, not to the left of the bowl",8200000,8200000,5.515066824969836,"[32, 8]","[33, 528, 640, 3]",contrastive_goal,right,0.019305524713046435,,True,6.570812767829813,,True,target_first
contrastive_last_left,contrastive_task,Do not put the rubiks cube to the right of the bowl; put it to the left of the bowl,8200000,8200000,5.516981954919174,"[32, 8]","[33, 528, 640, 3]",contrastive_order_control,left,0.01967443851353295,,True,5.884340504954851,,True,target_last
contrastive_last_right,contrastive_task,Do not put the rubiks cube to the left of the bowl; put it to the right of the bowl,8200000,8200000,5.535998950013891,"[32, 8]","[33, 528, 640, 3]",contrastive_order_control,right,0.021236756288095578,,True,6.670566161137894,,True,target_last
