source_id,stratum,N_h,n_h,inclusion_probability,population_weight,inclusion_probability_exact,population_weight_exact,wording,requested_relation,episode_index,replan_index,sampling_seed,source_chunk_dir,status,alignment_status,media_status,human_label_status
cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask/episode_009/chunk_004,both_positive,22,22,1.0,1.0,22/22,22/22,canonical,left,9,4,6109004,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_009/chunk_004,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/episode_001/chunk_005,both_positive,22,22,1.0,1.0,22/22,22/22,canonical,right,1,5,6101005,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_001/chunk_005,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/episode_004/chunk_004,both_positive,22,22,1.0,1.0,22/22,22/22,canonical,right,4,4,6104004,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_004/chunk_004,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/episode_006/chunk_003,both_positive,22,22,1.0,1.0,22/22,22/22,canonical,right,6,3,6106003,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_006/chunk_003,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/episode_006/chunk_005,both_positive,22,22,1.0,1.0,22/22,22/22,canonical,right,6,5,6106005,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_006/chunk_005,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/episode_007/chunk_003,both_positive,22,22,1.0,1.0,22/22,22/22,canonical,right,7,3,6107003,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_007/chunk_003,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/episode_008/chunk_005,both_positive,22,22,1.0,1.0,22/22,22/22,canonical,right,8,5,6108005,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_008/chunk_005,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask/episode_001/chunk_004,both_positive,22,22,1.0,1.0,22/22,22/22,contrastive,right,1,4,7201004,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_001/chunk_004,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask/episode_002/chunk_009,both_positive,22,22,1.0,1.0,22/22,22/22,contrastive,right,2,9,7202009,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_002/chunk_009,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask/episode_005/chunk_003,both_positive,22,22,1.0,1.0,22/22,22/22,contrastive,right,5,3,7205003,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_005/chunk_003,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask/episode_006/chunk_010,both_positive,22,22,1.0,1.0,22/22,22/22,contrastive,right,6,10,7206010,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_006/chunk_010,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask/episode_008/chunk_004,both_positive,22,22,1.0,1.0,22/22,22/22,declarative,left,8,4,7208004,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_008/chunk_004,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_declarative/RubiksCubeRightOfBowlMatchedTask/episode_002/chunk_012,both_positive,22,22,1.0,1.0,22/22,22/22,declarative,right,2,12,7202012,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_002/chunk_012,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_declarative/RubiksCubeRightOfBowlMatchedTask/episode_005/chunk_007,both_positive,22,22,1.0,1.0,22/22,22/22,declarative,right,5,7,7205007,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_005/chunk_007,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_declarative/RubiksCubeRightOfBowlMatchedTask/episode_007/chunk_010,both_positive,22,22,1.0,1.0,22/22,22/22,declarative,right,7,10,7207010,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_007/chunk_010,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_declarative/RubiksCubeRightOfBowlMatchedTask/episode_007/chunk_011,both_positive,22,22,1.0,1.0,22/22,22/22,declarative,right,7,11,7207011,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_007/chunk_011,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_vague/RubiksCubeLeftOfBowlMatchedTask/episode_002/chunk_003,both_positive,22,22,1.0,1.0,22/22,22/22,short,left,2,3,6102003,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_002/chunk_003,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_vague/RubiksCubeRightOfBowlMatchedTask/episode_000/chunk_004,both_positive,22,22,1.0,1.0,22/22,22/22,short,right,0,4,6100004,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_000/chunk_004,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_vague/RubiksCubeRightOfBowlMatchedTask/episode_003/chunk_007,both_positive,22,22,1.0,1.0,22/22,22/22,short,right,3,7,6103007,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_003/chunk_007,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_vague/RubiksCubeRightOfBowlMatchedTask/episode_004/chunk_006,both_positive,22,22,1.0,1.0,22/22,22/22,short,right,4,6,6104006,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_004/chunk_006,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_vague/RubiksCubeRightOfBowlMatchedTask/episode_005/chunk_004,both_positive,22,22,1.0,1.0,22/22,22/22,short,right,5,4,6105004,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_005/chunk_004,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_vague/RubiksCubeRightOfBowlMatchedTask/episode_008/chunk_005,both_positive,22,22,1.0,1.0,22/22,22/22,short,right,8,5,6108005,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_008/chunk_005,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask/episode_000/chunk_008,future_only_positive,5,5,1.0,1.0,5/5,5/5,canonical,left,0,8,6100008,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_000/chunk_008,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask/episode_009/chunk_003,future_only_positive,5,5,1.0,1.0,5/5,5/5,canonical,left,9,3,6109003,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_009/chunk_003,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/episode_004/chunk_003,future_only_positive,5,5,1.0,1.0,5/5,5/5,canonical,right,4,3,6104003,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_004/chunk_003,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_vague/RubiksCubeRightOfBowlMatchedTask/episode_004/chunk_007,future_only_positive,5,5,1.0,1.0,5/5,5/5,short,right,4,7,6104007,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_004/chunk_007,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_vague/RubiksCubeRightOfBowlMatchedTask/episode_007/chunk_003,future_only_positive,5,5,1.0,1.0,5/5,5/5,short,right,7,3,6107003,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_007/chunk_003,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask/episode_005/chunk_008,execution_only_positive,3,3,1.0,1.0,3/3,3/3,declarative,left,5,8,7205008,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_005/chunk_008,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_vague/RubiksCubeLeftOfBowlMatchedTask/episode_001/chunk_010,execution_only_positive,3,3,1.0,1.0,3/3,3/3,short,left,1,10,6101010,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_001/chunk_010,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_vague/RubiksCubeRightOfBowlMatchedTask/episode_001/chunk_004,execution_only_positive,3,3,1.0,1.0,3/3,3/3,short,right,1,4,6101004,/home/ali/projects/RoboLab/output/v1_cosmos_vague/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_001/chunk_004,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask/episode_003/chunk_006,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,canonical,left,3,6,6103006,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_003/chunk_006,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
