level,intent_id,canonical_text,train_surfaces,heldout_surfaces,origin,audit_seed,secondary_review_required,primary_all_surfaces_semantically_equivalent,primary_language_natural_and_acceptable,primary_reviewer,primary_review_notes,secondary_all_surfaces_semantically_equivalent,secondary_language_natural_and_acceptable,secondary_reviewer,secondary_review_notes,adjudicated_semantically_equivalent,adjudicated_language_acceptable,adjudicator,adjudication_notes
task,task_fe5eb78b10122976,move the pot in the left side of the table,"[""Please follow this instruction: \""move the pot in the left side of the table.\"""", ""Execute the following instruction: \""move the pot in the left side of the table.\"""", ""The requested robot instruction is: \""move the pot in the left side of the table.\"""", ""Carry out this command: \""move the pot in the left side of the table.\""""]","[""Robot command: \""move the pot in the left side of the table.\"""", ""Complete this instruction: \""move the pot in the left side of the table.\""""]",generated_verbatim_wrapper,20260723,False,,,,,,,,,,,,
task,task_77e7661c9022b188,Put the blue fork on top of the napkin,"[""Please follow this instruction: \""Put the blue fork on top of the napkin.\"""", ""Execute the following instruction: \""Put the blue fork on top of the napkin.\"""", ""The requested robot instruction is: \""Put the blue fork on top of the napkin.\"""", ""Carry out this command: \""Put the blue fork on top of the napkin.\""""]","[""Robot command: \""Put the blue fork on top of the napkin.\"""", ""Complete this instruction: \""Put the blue fork on top of the napkin.\""""]",generated_verbatim_wrapper,20260723,False,,,,,,,,,,,,
task,task_24f6c06030a9de50,PICK UP THE WHITE TOWEL AND PUT NEAR THE VESSEL,"[""Please follow this instruction: \""PICK UP THE WHITE TOWEL AND PUT NEAR THE VESSEL.\"""", ""Execute the following instruction: \""PICK UP THE WHITE TOWEL AND PUT NEAR THE VESSEL.\"""", ""The requested robot instruction is: \""PICK UP THE WHITE TOWEL AND PUT NEAR THE VESSEL.\"""", ""Carry out this command: \""PICK UP THE WHITE TOWEL AND PUT NEAR THE VESSEL.\""""]","[""Robot command: \""PICK UP THE WHITE TOWEL AND PUT NEAR THE VESSEL.\"""", ""Complete this instruction: \""PICK UP THE WHITE TOWEL AND PUT NEAR THE VESSEL.\""""]",generated_verbatim_wrapper,20260723,False,,,,,,,,,,,,
task,task_59ea64c100c0c591,picking the light-blue figure on the top edge of the cloth,"[""Please follow this instruction: \""picking the light-blue figure on the top edge of the cloth.\"""", ""Execute the following instruction: \""picking the light-blue figure on the top edge of the cloth.\"""", ""The requested robot instruction is: \""picking the light-blue figure on the top edge of the cloth.\"""", ""Carry out this command: \""picking the light-blue figure on the top edge of the cloth.\""""]","[""Robot command: \""picking the light-blue figure on the top edge of the cloth.\"""", ""Complete this instruction: \""picking the light-blue figure on the top edge of the cloth.\""""]",generated_verbatim_wrapper,20260723,False,,,,,,,,,,,,
task,task_90351a4cf6488062,move the blue object inside the drawer,"[""Please follow this instruction: \""move the blue object inside the drawer.\"""", ""Execute the following instruction: \""move the blue object inside the drawer.\"""", ""The requested robot instruction is: \""move the blue object inside the drawer.\"""", ""Carry out this command: \""move the blue object inside the drawer.\""""]","[""Robot command: \""move the blue object inside the drawer.\"""", ""Complete this instruction: \""move the blue object inside the drawer.\""""]",generated_verbatim_wrapper,20260723,False,,,,,,,,,,,,
task,task_ddd9955f6affd7c2,moved the silver pot to the right top side of the burner,"[""Please follow this instruction: \""moved the silver pot to the right top side of the burner.\"""", ""Execute the following instruction: \""moved the silver pot to the right top side of the burner.\"""", ""The requested robot instruction is: \""moved the silver pot to the right top side of the burner.\"""", ""Carry out this command: \""moved the silver pot to the right top side of the burner.\""""]","[""Robot command: \""moved the silver pot to the right top side of the burner.\"""", ""Complete this instruction: \""moved the silver pot to the right top side of the burner.\""""]",generated_verbatim_wrapper,20260723,False,,,,,,,,,,,,
task,task_9e5f0e3f7f81fb70,Move the spatula to the bottom right of the pot.,"[""Please follow this instruction: \""Move the spatula to the bottom right of the pot.\"""", ""Execute the following instruction: \""Move the spatula to the bottom right of the pot.\"""", ""The requested robot instruction is: \""Move the spatula to the bottom right of the pot.\"""", ""Carry out this command: \""Move the spatula to the bottom right of the pot.\""""]","[""Robot command: \""Move the spatula to the bottom right of the pot.\"""", ""Complete this instruction: \""Move the spatula to the bottom right of the pot.\""""]",generated_verbatim_wrapper,20260723,True,,,,,,,,,,,,
task,task_f3092690b4c748e9,move the orange towel out of the washing machine,"[""Please follow this instruction: \""move the orange towel out of the washing machine.\"""", ""Execute the following instruction: \""move the orange towel out of the washing machine.\"""", ""The requested robot instruction is: \""move the orange towel out of the washing machine.\"""", ""Carry out this command: \""move the orange towel out of the washing machine.\""""]","[""Robot command: \""move the orange towel out of the washing machine.\"""", ""Complete this instruction: \""move the orange towel out of the washing machine.\""""]",generated_verbatim_wrapper,20260723,False,,,,,,,,,,,,
task,task_d3c87d24a1499d42,put the block with a hole on top of the white cubu,"[""Please follow this instruction: \""put the block with a hole on top of the white cubu.\"""", ""Execute the following instruction: \""put the block with a hole on top of the white cubu.\"""", ""The requested robot instruction is: \""put the block with a hole on top of the white cubu.\"""", ""Carry out this command: \""put the block with a hole on top of the white cubu.\""""]","[""Robot command: \""put the block with a hole on top of the white cubu.\"""", ""Complete this instruction: \""put the block with a hole on top of the white cubu.\""""]",generated_verbatim_wrapper,20260723,False,,,,,,,,,,,,
task,task_90c46c588ad47634,put the green block and remove of the yellow rectangular,"[""Please follow this instruction: \""put the green block and remove of the yellow rectangular.\"""", ""Execute the following instruction: \""put the green block and remove of the yellow rectangular.\"""", ""The requested robot instruction is: \""put the green block and remove of the yellow rectangular.\"""", ""Carry out this command: \""put the green block and remove of the yellow rectangular.\""""]","[""Robot command: \""put the green block and remove of the yellow rectangular.\"""", ""Complete this instruction: \""put the green block and remove of the yellow rectangular.\""""]",generated_verbatim_wrapper,20260723,False,,,,,,,,,,,,
