lerobot_episode_index,steering_trajectory_id,source_collection,task_instruction,episode_length,segments,video_url,audit_seed,secondary_review_required,primary_reviewer,primary_task_identity_believable,primary_direct_step_i_alignment_believable,primary_boundary_alignment_believable,primary_review_notes,secondary_reviewer,secondary_task_identity_believable,secondary_direct_step_i_alignment_believable,secondary_boundary_alignment_believable,secondary_review_notes,adjudicated_task_identity_believable,adjudicated_direct_step_i_alignment_believable,adjudicated_boundary_alignment_believable,adjudicator,adjudication_notes
49026,48930,bridge_data_v1,take can out of pan,26,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 11, ""subtask"": ""Move to Can in Pan""}, {""segment_index"": 1, ""start_frame"": 12, ""end_frame"": 14, ""subtask"": ""Grasp Can in Pan""}, {""segment_index"": 2, ""start_frame"": 15, ""end_frame"": 19, ""subtask"": ""Lift Can""}, {""segment_index"": 3, ""start_frame"": 20, ""end_frame"": 21, ""subtask"": ""Move Can out of Pan""}, {""segment_index"": 4, ""start_frame"": 22, ""end_frame"": 25, ""subtask"": ""Release Can""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-049/observation.images.image_0/episode_049026.mp4,20260753,False,,,,,,,,,,,,,,,
28840,28504,bridge_data_v2,take the lid of the container and put it on the left side of the table,41,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 8, ""subtask"": ""Move towards container lid""}, {""segment_index"": 1, ""start_frame"": 9, ""end_frame"": 13, ""subtask"": ""Grasp the container lid""}, {""segment_index"": 2, ""start_frame"": 14, ""end_frame"": 17, ""subtask"": ""Lift the lid""}, {""segment_index"": 3, ""start_frame"": 18, ""end_frame"": 29, ""subtask"": ""Move the lid to the left side of the table""}, {""segment_index"": 4, ""start_frame"": 30, ""end_frame"": 33, ""subtask"": ""Place the lid on the table""}, {""segment_index"": 5, ""start_frame"": 34, ""end_frame"": 38, ""subtask"": ""Release the container lid""}, {""segment_index"": 6, ""start_frame"": 39, ""end_frame"": 40, ""subtask"": ""Move away from the lid""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-028/observation.images.image_0/episode_028840.mp4,20260753,True,,,,,,,,,,,,,,,
24926,24878,bridge_data_v2,move the puppy on top of the drawer,23,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 6, ""subtask"": ""Move to the puppy""}, {""segment_index"": 1, ""start_frame"": 7, ""end_frame"": 12, ""subtask"": ""Grasp the puppy""}, {""segment_index"": 2, ""start_frame"": 13, ""end_frame"": 15, ""subtask"": ""Move to above the drawer""}, {""segment_index"": 3, ""start_frame"": 16, ""end_frame"": 17, ""subtask"": ""Position the puppy above the drawer""}, {""segment_index"": 4, ""start_frame"": 18, ""end_frame"": 20, ""subtask"": ""Release the puppy""}, {""segment_index"": 5, ""start_frame"": 21, ""end_frame"": 22, ""subtask"": ""Move away from the drawer""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-024/observation.images.image_0/episode_024926.mp4,20260753,True,,,,,,,,,,,,,,,
8424,8676,bridge_data_v2,Place that thing on top of the drawer,28,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 6, ""subtask"": ""Reach for the Object""}, {""segment_index"": 1, ""start_frame"": 7, ""end_frame"": 12, ""subtask"": ""Grasp the Object""}, {""segment_index"": 2, ""start_frame"": 13, ""end_frame"": 19, ""subtask"": ""Lift and Move Towards the Drawer""}, {""segment_index"": 3, ""start_frame"": 20, ""end_frame"": 23, ""subtask"": ""Place the Object on the Drawer""}, {""segment_index"": 4, ""start_frame"": 24, ""end_frame"": 27, ""subtask"": ""Move away from the Drawer""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-008/observation.images.image_0/episode_008424.mp4,20260753,False,,,,,,,,,,,,,,,
33553,33421,bridge_data_v2,fold the clothes from the bottom right and pack,44,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 7, ""subtask"": ""Reach for Clothes (Bottom Right)""}, {""segment_index"": 1, ""start_frame"": 8, ""end_frame"": 15, ""subtask"": ""Grasp Clothes""}, {""segment_index"": 2, ""start_frame"": 16, ""end_frame"": 17, ""subtask"": ""Lift Clothes""}, {""segment_index"": 3, ""start_frame"": 18, ""end_frame"": 24, ""subtask"": ""Fold Clothes""}, {""segment_index"": 4, ""start_frame"": 25, ""end_frame"": 30, ""subtask"": ""Release Clothes""}, {""segment_index"": 5, ""start_frame"": 31, ""end_frame"": 36, ""subtask"": ""Position for Packing""}, {""segment_index"": 6, ""start_frame"": 37, ""end_frame"": 43, ""subtask"": ""Move Clothes to Packing Location""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-033/observation.images.image_0/episode_033553.mp4,20260753,False,,,,,,,,,,,,,,,
12376,12399,bridge_data_v2,putting the yellow cloth into the gray basin,39,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 7, ""subtask"": ""Reaching for the yellow cloth""}, {""segment_index"": 1, ""start_frame"": 8, ""end_frame"": 12, ""subtask"": ""Grasping the yellow cloth""}, {""segment_index"": 2, ""start_frame"": 13, ""end_frame"": 21, ""subtask"": ""Lifting the yellow cloth""}, {""segment_index"": 3, ""start_frame"": 22, ""end_frame"": 23, ""subtask"": ""Moving the yellow cloth towards the basin""}, {""segment_index"": 4, ""start_frame"": 24, ""end_frame"": 29, ""subtask"": ""Releasing the yellow cloth into the gray basin""}, {""segment_index"": 5, ""start_frame"": 30, ""end_frame"": 38, ""subtask"": ""Moving away from the gray basin""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-012/observation.images.image_0/episode_012376.mp4,20260753,False,,,,,,,,,,,,,,,
39258,39689,bridge_data_v2,Remove the blue rectangle from the cylinder and put it on the tower,46,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 14, ""subtask"": ""Rotate toward the blue rectangle on the cylinder""}, {""segment_index"": 1, ""start_frame"": 15, ""end_frame"": 25, ""subtask"": ""Grasp the blue rectangle on the cylinder""}, {""segment_index"": 2, ""start_frame"": 26, ""end_frame"": 40, ""subtask"": ""Lift the blue rectangle from the cylinder""}, {""segment_index"": 3, ""start_frame"": 41, ""end_frame"": 45, ""subtask"": ""Release the blue rectangle on the tower""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-039/observation.images.image_0/episode_039258.mp4,20260753,False,,,,,,,,,,,,,,,
14822,14738,bridge_data_v2,take the orange fish and put it on the caisson box,23,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 5, ""subtask"": ""Reach for the orange fish""}, {""segment_index"": 1, ""start_frame"": 6, ""end_frame"": 8, ""subtask"": ""Grasp the orange fish""}, {""segment_index"": 2, ""start_frame"": 9, ""end_frame"": 12, ""subtask"": ""Lift the orange fish""}, {""segment_index"": 3, ""start_frame"": 13, ""end_frame"": 14, ""subtask"": ""Move the orange fish towards the caisson box""}, {""segment_index"": 4, ""start_frame"": 15, ""end_frame"": 18, ""subtask"": ""Place the orange fish on the caisson box""}, {""segment_index"": 5, ""start_frame"": 19, ""end_frame"": 22, ""subtask"": ""Release the orange fish""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-014/observation.images.image_0/episode_014822.mp4,20260753,False,,,,,,,,,,,,,,,
16249,16441,bridge_data_v2,moved the purple clothe and put it in the lower left side of the table,33,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 5, ""subtask"": ""Approach purple cloth""}, {""segment_index"": 1, ""start_frame"": 6, ""end_frame"": 22, ""subtask"": ""Adjust position for grasping""}, {""segment_index"": 2, ""start_frame"": 23, ""end_frame"": 29, ""subtask"": ""Lift the purple cloth""}, {""segment_index"": 3, ""start_frame"": 30, ""end_frame"": 32, ""subtask"": ""Move to lower left side of the table""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-016/observation.images.image_0/episode_016249.mp4,20260753,False,,,,,,,,,,,,,,,
37564,37923,bridge_data_v2,fold the cloth from left to middle,32,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 4, ""subtask"": ""Approach the left side of the cloth""}, {""segment_index"": 1, ""start_frame"": 5, ""end_frame"": 16, ""subtask"": ""Grasp the left side of the cloth""}, {""segment_index"": 2, ""start_frame"": 17, ""end_frame"": 20, ""subtask"": ""Move the grasped portion of the cloth towards the middle""}, {""segment_index"": 3, ""start_frame"": 21, ""end_frame"": 25, ""subtask"": ""Place the grasped left side of the cloth in the middle""}, {""segment_index"": 4, ""start_frame"": 26, ""end_frame"": 31, ""subtask"": ""Disengage from the cloth""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-037/observation.images.image_0/episode_037564.mp4,20260753,False,,,,,,,,,,,,,,,
