pool_id,steering_trajectory_id,source_collection,canonical_task,canonical_subtask,slot_index,command,automatic_class,rule_reason,secondary_review_required,primary_manual_class,primary_same_intent_with_canonical,primary_reviewer,primary_review_notes,secondary_manual_class,secondary_same_intent_with_canonical,secondary_reviewer,secondary_review_notes,adjudicated_class,adjudicated_same_intent_with_canonical,adjudicator,adjudication_notes
pool_904bda44e2f53afc,50937,bridge_data_v1,put carrot in pot or pan,Move carrot towards the pot/pan,0,"Move the carrot closer to [177, 108]",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_904bda44e2f53afc,50937,bridge_data_v1,put carrot in pot or pan,Move carrot towards the pot/pan,1,"Move the carrot to [191, 164]",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_904bda44e2f53afc,50937,bridge_data_v1,put carrot in pot or pan,Move carrot towards the pot/pan,2,Move the carrot toward the pot/pan,malformed_or_unclear,semantic_class_unclear_requires_manual_review,False,,,,,,,,,,,,
pool_904bda44e2f53afc,50937,bridge_data_v1,put carrot in pot or pan,Move carrot towards the pot/pan,3,"Move right, keeping the pot at [177, 108] in view",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_904bda44e2f53afc,50937,bridge_data_v1,put carrot in pot or pan,Move carrot towards the pot/pan,4,put carrot in pot or pan,task_level_language,shared_trajectory_task_exact_normalized_match,False,,,,,,,,,,,,
pool_904bda44e2f53afc,50937,bridge_data_v1,put carrot in pot or pan,Move carrot towards the pot/pan,5,"Move the carrot to the right toward the pot at [177, 108]",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_904bda44e2f53afc,50937,bridge_data_v1,put carrot in pot or pan,Move carrot towards the pot/pan,6,Carry the carrot horizontally,malformed_or_unclear,semantic_class_unclear_requires_manual_review,False,,,,,,,,,,,,
pool_904bda44e2f53afc,50937,bridge_data_v1,put carrot in pot or pan,Move carrot towards the pot/pan,7,Move carrot towards the pot/pan,subtask_same_intent_paraphrase_candidate,canonical_subtask_exact_normalized_match,False,,,,,,,,,,,,
pool_904bda44e2f53afc,50937,bridge_data_v1,put carrot in pot or pan,Move carrot towards the pot/pan,8,"Move right, with gripper at [119, 44], [136, 36], [191, 164]",multi_point_gripper_trace,two_or_more_coordinate_pairs,False,,,,,,,,,,,,
pool_718b713bb7292510,21291,bridge_data_v1,flip pot upright in sink,Reorient the pot upright,0,Rotate the pot to be upright,malformed_or_unclear,semantic_class_unclear_requires_manual_review,False,,,,,,,,,,,,
pool_718b713bb7292510,21291,bridge_data_v1,flip pot upright in sink,Reorient the pot upright,1,Reorient the pot upright,subtask_same_intent_paraphrase_candidate,canonical_subtask_exact_normalized_match,False,,,,,,,,,,,,
pool_718b713bb7292510,21291,bridge_data_v1,flip pot upright in sink,Reorient the pot upright,2,flip pot upright in sink,task_level_language,shared_trajectory_task_exact_normalized_match,False,,,,,,,,,,,,
pool_718b713bb7292510,21291,bridge_data_v1,flip pot upright in sink,Reorient the pot upright,3,Reposition the pot,malformed_or_unclear,semantic_class_unclear_requires_manual_review,False,,,,,,,,,,,,
pool_718b713bb7292510,21291,bridge_data_v1,flip pot upright in sink,Reorient the pot upright,4,Rotate the pot,malformed_or_unclear,semantic_class_unclear_requires_manual_review,False,,,,,,,,,,,,
pool_718b713bb7292510,21291,bridge_data_v1,flip pot upright in sink,Reorient the pot upright,5,Reorient the pot,malformed_or_unclear,semantic_class_unclear_requires_manual_review,False,,,,,,,,,,,,
pool_718b713bb7292510,21291,bridge_data_v1,flip pot upright in sink,Reorient the pot upright,6,Rotate the pot in hand,malformed_or_unclear,semantic_class_unclear_requires_manual_review,False,,,,,,,,,,,,
pool_e698c9d6eaf03a47,1985,bridge_data_v1,turn lever vertical to front,Finalize motion,0,Stop,atomic_motion_or_gripper_command,high_precision_atomic_pattern,False,,,,,,,,,,,,
pool_e698c9d6eaf03a47,1985,bridge_data_v1,turn lever vertical to front,Finalize motion,1,"Finalize motion near [161, 168]",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_e698c9d6eaf03a47,1985,bridge_data_v1,turn lever vertical to front,Finalize motion,2,Finalize motion,subtask_same_intent_paraphrase_candidate,canonical_subtask_exact_normalized_match,False,,,,,,,,,,,,
pool_e698c9d6eaf03a47,1985,bridge_data_v1,turn lever vertical to front,Finalize motion,3,"Final adjustment at [171, 182]",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_e698c9d6eaf03a47,1985,bridge_data_v1,turn lever vertical to front,Finalize motion,4,turn lever vertical to front,task_level_language,shared_trajectory_task_exact_normalized_match,False,,,,,,,,,,,,
pool_e698c9d6eaf03a47,1985,bridge_data_v1,turn lever vertical to front,Finalize motion,5,Final motion,malformed_or_unclear,semantic_class_unclear_requires_manual_review,False,,,,,,,,,,,,
pool_e698c9d6eaf03a47,1985,bridge_data_v1,turn lever vertical to front,Finalize motion,6,Maintain position,malformed_or_unclear,semantic_class_unclear_requires_manual_review,False,,,,,,,,,,,,
pool_8b1a71fb96760288,12167,bridge_data_v1,put beet in pot sink,Move beet to pot sink,0,"Move to [157, 42] and prepare to drop",hybrid_or_added_behavioral_semantics,coordinate_plus_terminal_action_direction_or_sequence,False,,,,,,,,,,,,
pool_8b1a71fb96760288,12167,bridge_data_v1,put beet in pot sink,Move beet to pot sink,1,put beet in pot sink,task_level_language,shared_trajectory_task_exact_normalized_match,False,,,,,,,,,,,,
pool_8b1a71fb96760288,12167,bridge_data_v1,put beet in pot sink,Move beet to pot sink,2,Move beet over the pot sink,malformed_or_unclear,semantic_class_unclear_requires_manual_review,False,,,,,,,,,,,,
pool_8b1a71fb96760288,12167,bridge_data_v1,put beet in pot sink,Move beet to pot sink,3,"Move the beet closer to the pot at [180, 124] and sink at [160, 116]",multi_point_gripper_trace,two_or_more_coordinate_pairs,False,,,,,,,,,,,,
pool_8b1a71fb96760288,12167,bridge_data_v1,put beet in pot sink,Move beet to pot sink,4,Move beet to pot sink,subtask_same_intent_paraphrase_candidate,canonical_subtask_exact_normalized_match,False,,,,,,,,,,,,
pool_8b1a71fb96760288,12167,bridge_data_v1,put beet in pot sink,Move beet to pot sink,5,"Move beet to sink at [160, 116]",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_8b1a71fb96760288,12167,bridge_data_v1,put beet in pot sink,Move beet to pot sink,6,Position the beet above the pot sink,malformed_or_unclear,semantic_class_unclear_requires_manual_review,False,,,,,,,,,,,,
pool_2812f7e11853bc0c,18258,bridge_data_v1,put big spoon from basket to tray,Move Big Spoon Towards Tray,0,Move Big Spoon Towards Tray,subtask_same_intent_paraphrase_candidate,canonical_subtask_exact_normalized_match,False,,,,,,,,,,,,
pool_2812f7e11853bc0c,18258,bridge_data_v1,put big spoon from basket to tray,Move Big Spoon Towards Tray,1,"Move the gripper from [98, 67] to [106, 52].",multi_point_gripper_trace,two_or_more_coordinate_pairs,False,,,,,,,,,,,,
pool_2812f7e11853bc0c,18258,bridge_data_v1,put big spoon from basket to tray,Move Big Spoon Towards Tray,2,Move the big spoon to the right.,malformed_or_unclear,semantic_class_unclear_requires_manual_review,False,,,,,,,,,,,,
pool_2812f7e11853bc0c,18258,bridge_data_v1,put big spoon from basket to tray,Move Big Spoon Towards Tray,3,put big spoon from basket to tray,task_level_language,shared_trajectory_task_exact_normalized_match,False,,,,,,,,,,,,
