cell_id,model_id,model_class,world_model_interface,arena,pair_id,anchor_task,environment_seed,sampling_seed,prompt_family,legacy_v1_wording,requested_relation,native_task_relation,condition_role,prompt_template,rendered_prompt,prompt_rendering_status,execution_batch,video_required,valid_failure_retained
pi0_fast_droid_vla__droid_pair_seed_8300__direct_command__left,pi0_fast_droid_vla,VLA,none,droid_robolab,droid_pair_seed_8300,RubiksCubeLeftOfBowlMatchedTask,8300,8300,direct_command,canonical,left,right,counterfactual_direction,Put the {movable} to the left of the {reference}.,Put the Rubik's cube to the left of the bowl.,fully_rendered,direct_base_competence_gate,True,True
pi0_fast_droid_vla__droid_pair_seed_8300__direct_command__right,pi0_fast_droid_vla,VLA,none,droid_robolab,droid_pair_seed_8300,RubiksCubeRightOfBowlMatchedTask,8300,8300,direct_command,canonical,right,right,counterfactual_direction,Put the {movable} to the right of the {reference}.,Put the Rubik's cube to the right of the bowl.,fully_rendered,direct_base_competence_gate,True,True
pi0_fast_droid_vla__droid_pair_seed_8300__short_command__left,pi0_fast_droid_vla,VLA,none,droid_robolab,droid_pair_seed_8300,RubiksCubeLeftOfBowlMatchedTask,8300,8300,short_command,short_paraphrase,left,right,counterfactual_direction,Put the {movable_short} left of the {reference}.,Put the cube left of the bowl.,fully_rendered,wording_followup_if_base_gate_passes,True,True
pi0_fast_droid_vla__droid_pair_seed_8300__short_command__right,pi0_fast_droid_vla,VLA,none,droid_robolab,droid_pair_seed_8300,RubiksCubeRightOfBowlMatchedTask,8300,8300,short_command,short_paraphrase,right,right,counterfactual_direction,Put the {movable_short} right of the {reference}.,Put the cube right of the bowl.,fully_rendered,wording_followup_if_base_gate_passes,True,True
pi0_fast_droid_vla__droid_pair_seed_8300__goal_as_outcome__left,pi0_fast_droid_vla,VLA,none,droid_robolab,droid_pair_seed_8300,RubiksCubeLeftOfBowlMatchedTask,8300,8300,goal_as_outcome,declarative_goal,left,right,counterfactual_direction,The {movable} should end up to the left of the {reference}.,The Rubik's cube should end up to the left of the bowl.,fully_rendered,wording_followup_if_base_gate_passes,True,True
pi0_fast_droid_vla__droid_pair_seed_8300__goal_as_outcome__right,pi0_fast_droid_vla,VLA,none,droid_robolab,droid_pair_seed_8300,RubiksCubeRightOfBowlMatchedTask,8300,8300,goal_as_outcome,declarative_goal,right,right,counterfactual_direction,The {movable} should end up to the right of the {reference}.,The Rubik's cube should end up to the right of the bowl.,fully_rendered,wording_followup_if_base_gate_passes,True,True
pi0_fast_droid_vla__droid_pair_seed_8300__desired_plus_negated_opposite__left,pi0_fast_droid_vla,VLA,none,droid_robolab,droid_pair_seed_8300,RubiksCubeLeftOfBowlMatchedTask,8300,8300,desired_plus_negated_opposite,contrastive_goal,left,right,counterfactual_direction,"Put the {movable} to the left of the {reference}, not to the right of the {reference}.","Put the Rubik's cube to the left of the bowl, not to the right of the bowl.",fully_rendered,wording_followup_if_base_gate_passes,True,True
pi0_fast_droid_vla__droid_pair_seed_8300__desired_plus_negated_opposite__right,pi0_fast_droid_vla,VLA,none,droid_robolab,droid_pair_seed_8300,RubiksCubeRightOfBowlMatchedTask,8300,8300,desired_plus_negated_opposite,contrastive_goal,right,right,counterfactual_direction,"Put the {movable} to the right of the {reference}, not to the left of the {reference}.","Put the Rubik's cube to the right of the bowl, not to the left of the bowl.",fully_rendered,wording_followup_if_base_gate_passes,True,True
pi0_fast_droid_vla__droid_pair_seed_8301__direct_command__left,pi0_fast_droid_vla,VLA,none,droid_robolab,droid_pair_seed_8301,RubiksCubeLeftOfBowlMatchedTask,8301,8301,direct_command,canonical,left,right,counterfactual_direction,Put the {movable} to the left of the {reference}.,Put the Rubik's cube to the left of the bowl.,fully_rendered,direct_base_competence_gate,True,True
pi0_fast_droid_vla__droid_pair_seed_8301__direct_command__right,pi0_fast_droid_vla,VLA,none,droid_robolab,droid_pair_seed_8301,RubiksCubeRightOfBowlMatchedTask,8301,8301,direct_command,canonical,right,right,counterfactual_direction,Put the {movable} to the right of the {reference}.,Put the Rubik's cube to the right of the bowl.,fully_rendered,direct_base_competence_gate,True,True
pi0_fast_droid_vla__droid_pair_seed_8301__short_command__left,pi0_fast_droid_vla,VLA,none,droid_robolab,droid_pair_seed_8301,RubiksCubeLeftOfBowlMatchedTask,8301,8301,short_command,short_paraphrase,left,right,counterfactual_direction,Put the {movable_short} left of the {reference}.,Put the cube left of the bowl.,fully_rendered,wording_followup_if_base_gate_passes,True,True
pi0_fast_droid_vla__droid_pair_seed_8301__short_command__right,pi0_fast_droid_vla,VLA,none,droid_robolab,droid_pair_seed_8301,RubiksCubeRightOfBowlMatchedTask,8301,8301,short_command,short_paraphrase,right,right,counterfactual_direction,Put the {movable_short} right of the {reference}.,Put the cube right of the bowl.,fully_rendered,wording_followup_if_base_gate_passes,True,True
pi0_fast_droid_vla__droid_pair_seed_8301__goal_as_outcome__left,pi0_fast_droid_vla,VLA,none,droid_robolab,droid_pair_seed_8301,RubiksCubeLeftOfBowlMatchedTask,8301,8301,goal_as_outcome,declarative_goal,left,right,counterfactual_direction,The {movable} should end up to the left of the {reference}.,The Rubik's cube should end up to the left of the bowl.,fully_rendered,wording_followup_if_base_gate_passes,True,True
pi0_fast_droid_vla__droid_pair_seed_8301__goal_as_outcome__right,pi0_fast_droid_vla,VLA,none,droid_robolab,droid_pair_seed_8301,RubiksCubeRightOfBowlMatchedTask,8301,8301,goal_as_outcome,declarative_goal,right,right,counterfactual_direction,The {movable} should end up to the right of the {reference}.,The Rubik's cube should end up to the right of the bowl.,fully_rendered,wording_followup_if_base_gate_passes,True,True
pi0_fast_droid_vla__droid_pair_seed_8301__desired_plus_negated_opposite__left,pi0_fast_droid_vla,VLA,none,droid_robolab,droid_pair_seed_8301,RubiksCubeLeftOfBowlMatchedTask,8301,8301,desired_plus_negated_opposite,contrastive_goal,left,right,counterfactual_direction,"Put the {movable} to the left of the {reference}, not to the right of the {reference}.","Put the Rubik's cube to the left of the bowl, not to the right of the bowl.",fully_rendered,wording_followup_if_base_gate_passes,True,True
pi0_fast_droid_vla__droid_pair_seed_8301__desired_plus_negated_opposite__right,pi0_fast_droid_vla,VLA,none,droid_robolab,droid_pair_seed_8301,RubiksCubeRightOfBowlMatchedTask,8301,8301,desired_plus_negated_opposite,contrastive_goal,right,right,counterfactual_direction,"Put the {movable} to the right of the {reference}, not to the left of the {reference}.","Put the Rubik's cube to the right of the bowl, not to the left of the bowl.",fully_rendered,wording_followup_if_base_gate_passes,True,True
pi0_fast_droid_vla__droid_pair_seed_8302__direct_command__left,pi0_fast_droid_vla,VLA,none,droid_robolab,droid_pair_seed_8302,RubiksCubeLeftOfBowlMatchedTask,8302,8302,direct_command,canonical,left,right,counterfactual_direction,Put the {movable} to the left of the {reference}.,Put the Rubik's cube to the left of the bowl.,fully_rendered,direct_base_competence_gate,True,True
pi0_fast_droid_vla__droid_pair_seed_8302__direct_command__right,pi0_fast_droid_vla,VLA,none,droid_robolab,droid_pair_seed_8302,RubiksCubeRightOfBowlMatchedTask,8302,8302,direct_command,canonical,right,right,counterfactual_direction,Put the {movable} to the right of the {reference}.,Put the Rubik's cube to the right of the bowl.,fully_rendered,direct_base_competence_gate,True,True
pi0_fast_droid_vla__droid_pair_seed_8302__short_command__left,pi0_fast_droid_vla,VLA,none,droid_robolab,droid_pair_seed_8302,RubiksCubeLeftOfBowlMatchedTask,8302,8302,short_command,short_paraphrase,left,right,counterfactual_direction,Put the {movable_short} left of the {reference}.,Put the cube left of the bowl.,fully_rendered,wording_followup_if_base_gate_passes,True,True
pi0_fast_droid_vla__droid_pair_seed_8302__short_command__right,pi0_fast_droid_vla,VLA,none,droid_robolab,droid_pair_seed_8302,RubiksCubeRightOfBowlMatchedTask,8302,8302,short_command,short_paraphrase,right,right,counterfactual_direction,Put the {movable_short} right of the {reference}.,Put the cube right of the bowl.,fully_rendered,wording_followup_if_base_gate_passes,True,True
pi0_fast_droid_vla__droid_pair_seed_8302__goal_as_outcome__left,pi0_fast_droid_vla,VLA,none,droid_robolab,droid_pair_seed_8302,RubiksCubeLeftOfBowlMatchedTask,8302,8302,goal_as_outcome,declarative_goal,left,right,counterfactual_direction,The {movable} should end up to the left of the {reference}.,The Rubik's cube should end up to the left of the bowl.,fully_rendered,wording_followup_if_base_gate_passes,True,True
pi0_fast_droid_vla__droid_pair_seed_8302__goal_as_outcome__right,pi0_fast_droid_vla,VLA,none,droid_robolab,droid_pair_seed_8302,RubiksCubeRightOfBowlMatchedTask,8302,8302,goal_as_outcome,declarative_goal,right,right,counterfactual_direction,The {movable} should end up to the right of the {reference}.,The Rubik's cube should end up to the right of the bowl.,fully_rendered,wording_followup_if_base_gate_passes,True,True
pi0_fast_droid_vla__droid_pair_seed_8302__desired_plus_negated_opposite__left,pi0_fast_droid_vla,VLA,none,droid_robolab,droid_pair_seed_8302,RubiksCubeLeftOfBowlMatchedTask,8302,8302,desired_plus_negated_opposite,contrastive_goal,left,right,counterfactual_direction,"Put the {movable} to the left of the {reference}, not to the right of the {reference}.","Put the Rubik's cube to the left of the bowl, not to the right of the bowl.",fully_rendered,wording_followup_if_base_gate_passes,True,True
pi0_fast_droid_vla__droid_pair_seed_8302__desired_plus_negated_opposite__right,pi0_fast_droid_vla,VLA,none,droid_robolab,droid_pair_seed_8302,RubiksCubeRightOfBowlMatchedTask,8302,8302,desired_plus_negated_opposite,contrastive_goal,right,right,counterfactual_direction,"Put the {movable} to the right of the {reference}, not to the left of the {reference}.","Put the Rubik's cube to the right of the bowl, not to the left of the bowl.",fully_rendered,wording_followup_if_base_gate_passes,True,True
groot_n17_droid_vla__droid_pair_seed_8300__direct_command__left,groot_n17_droid_vla,VLA,none,droid_robolab,droid_pair_seed_8300,RubiksCubeLeftOfBowlMatchedTask,8300,8300,direct_command,canonical,left,right,counterfactual_direction,Put the {movable} to the left of the {reference}.,Put the Rubik's cube to the left of the bowl.,fully_rendered,direct_base_competence_gate,True,True
groot_n17_droid_vla__droid_pair_seed_8300__direct_command__right,groot_n17_droid_vla,VLA,none,droid_robolab,droid_pair_seed_8300,RubiksCubeRightOfBowlMatchedTask,8300,8300,direct_command,canonical,right,right,counterfactual_direction,Put the {movable} to the right of the {reference}.,Put the Rubik's cube to the right of the bowl.,fully_rendered,direct_base_competence_gate,True,True
groot_n17_droid_vla__droid_pair_seed_8300__short_command__left,groot_n17_droid_vla,VLA,none,droid_robolab,droid_pair_seed_8300,RubiksCubeLeftOfBowlMatchedTask,8300,8300,short_command,short_paraphrase,left,right,counterfactual_direction,Put the {movable_short} left of the {reference}.,Put the cube left of the bowl.,fully_rendered,wording_followup_if_base_gate_passes,True,True
